Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	tree_length
0	-647.6736	-756.0955	108.4219	0.270266	0.436386	0.563614	0.729735	3.440594	0.0061701	0.0141282	0.00324309	0.0290125	0.00508295	0.023038	0.00300713	0.00311827	0.00271033	0.00928103	0.0146466	0.00169696	0.0088661	0.0381198	0.000847156	0.00420042	0.00212031	0.000805336	0.00201818	0.0013057	0.00194287	0.00346367	0.00155628	0.00143301	0.000163017	0.00423829	0.00523143	0.0120419	0.00690512	0.000525072	0.00577496	0.00318882	0.00433329	0.00851484	0.00020749	0.00294281	0.0110559	0.0103978	0.024556	0.000231406	0.00104961	0.00487211	0.00417121	0.00940795	0.00749946	0.00546994	0.00121584	0.00610315	2.62195e-05	0.0109428	0.0167701	0.000175624	0.00138441	0.00185287	0.00860964	0.00726994	0.0202765	0.0133096	5.69175e-05	0.00936121	0.00031248	0.00365568	0.000750572	0.00381762	0.00597358	0.0161164	0.0168079	0.0177575	0.0124733	0.128899	0.688678	0.0248886	0.157535	0.0392134	0.20607	0.610921	1.63687	4.85273	25.5015	2.34183	0.012602	0.028856	0.00662378	0.059256	0.0103816	0.0470536	0.00614186	0.00636885	0.00553567	0.0189559	0.0299148	0.00346593	0.0181084	0.0778571	0.00173026	0.00857908	0.00433059	0.00164484	0.004122	0.0026668	0.00396819	0.00707431	0.00317859	0.00292683	0.000332952	0.00865642	0.0106848	0.0245948	0.0141032	0.00107242	0.011795	0.00651296	0.00885046	0.017391	0.000423785	0.00601049	0.0225809	0.0212368	0.050154	0.00047263	0.00214377	0.00995095	0.00851942	0.0192151	0.0153171	0.011172	0.00248328	0.0124653	5.35516e-05	0.0223499	0.0342517	0.000358701	0.00282757	0.00378436	0.0175846	0.0148484	0.0414134	0.0271839	0.00011625	0.0191196	0.00063822	0.00746649	0.00153299	0.00779722	0.0122006	0.0329167	0.0343289	0.0362684	0.0254758	0.4896122
36	-639.8272	-748.81	108.9828	0.259321	0.432765	0.567236	0.740678	3.098065	0.00542134	0.010331	0.0721383	0.00361937	0.0470965	0.0126284	0.00825734	0.00247645	0.022994	0.0335118	0.000980574	0.0196799	0.0401495	0.0358245	0.00789644	0.00725315	0.000339545	0.00442283	0.00212488	0.0286128	0.0164822	0.00551088	0.000497358	0.0116977	0.00091813	0.00288151	0.00213024	0.0198469	0.00781926	0.00452874	0.0149099	0.00823832	0.00456682	0.0141565	0.00452617	0.00177774	0.0112256	0.0300799	0.0213997	0.0105527	0.00787342	0.0171605	0.0522444	0.000532426	0.00535953	0.00303572	0.00164256	0.00302144	0.0114553	0.000835009	0.00345517	0.067991	0.00491545	0.0423775	0.0628739	0.00372429	0.0350883	0.0470735	0.00448956	0.00227441	0.0230883	0.00845952	0.0148894	0.000993187	0.00383462	0.016064	0.049992	0.0298244	0.0215849	0.446311	0.0435168	0.298983	0.211189	0.115906	0.349592	0.720443	1.38804	2.86048	8.62772	1.558199	0.00490327	0.00934377	0.0652447	0.0032735	0.0425959	0.0114216	0.00746826	0.0022398	0.0207967	0.0303093	0.000886869	0.0177992	0.0363128	0.032401	0.00714184	0.00656003	0.000307097	0.00400017	0.00192182	0.0258785	0.0149071	0.00498425	0.000449829	0.0105799	0.000830392	0.00260615	0.00192667	0.0179503	0.00707204	0.00409596	0.0134851	0.00745105	0.00413041	0.0128037	0.00409364	0.00160786	0.0101529	0.0272054	0.0193547	0.0095443	0.00712102	0.0155206	0.0472518	0.000481546	0.00484737	0.00274562	0.00148559	0.00273271	0.0103606	0.000755215	0.00312499	0.0614936	0.00444572	0.0383278	0.0568656	0.00336839	0.0317352	0.0425751	0.00406053	0.00205706	0.020882	0.00765112	0.0134665	0.000898277	0.00346818	0.0145289	0.0452147	0.0269744	0.0195222	1.105659
72	-639.9141	-747.212	107.2979	0.326904	0.453807	0.546193	0.673097	6.364649	0.0279885	0.0103322	0.000645334	0.0171068	0.0057386	0.0247913	0.00446636	0.00224349	0.00295324	0.00504598	0.00290856	0.00957814	0.0220744	0.0901159	0.00423806	0.00232313	0.00189848	0.00283003	0.00445913	0.000569165	0.00556615	0.00180558	0.00010945	0.00999422	0.00362459	0.00218583	0.000271496	0.0172167	0.000900614	0.000434551	0.00638586	0.00324052	0.000898088	0.00396483	0.0019793	0.00127501	0.00187992	0.0158862	0.0142108	0.0232996	0.00297229	0.0177734	0.00884396	0.0196769	0.00871172	0.019904	0.000761795	0.0190053	0.0472041	0.0154108	0.0545112	0.00378914	0.0335731	0.00169453	0.0108486	0.0289888	0.00971081	0.0244659	0.016563	0.00583223	0.0140213	0.00369675	0.000552186	0.0301188	0.00117508	0.0376394	0.00218605	0.00821804	0.0032112	0.0898771	0.503332	0.391467	0.015323	0.0606314	0.25487	0.652803	1.53186	3.92357	16.4931	2.026721	0.034618	0.0127795	0.00079819	0.0211588	0.00709786	0.0306635	0.00552428	0.0027749	0.00365276	0.00624119	0.0035975	0.0118469	0.027303	0.111461	0.0052419	0.0028734	0.00234816	0.00350036	0.00551534	0.000703979	0.00688456	0.00223326	0.000135374	0.0123615	0.00448312	0.00270357	0.000335803	0.0212947	0.00111394	0.000537481	0.00789844	0.00400809	0.00111081	0.00490395	0.00244812	0.00157701	0.0023252	0.0196491	0.0175769	0.0288184	0.00367632	0.0219833	0.0109388	0.0243376	0.0107752	0.0246186	0.000942237	0.023507	0.058385	0.019061	0.0674229	0.00468665	0.0415254	0.0020959	0.0134183	0.0358552	0.0120109	0.0302609	0.0204862	0.00721367	0.0173425	0.00457237	0.000682978	0.0372528	0.00145342	0.0465548	0.00270384	0.0101646	0.00397182	0.8084966
108	-646.639	-756.4912	109.8522	0.204137	0.412685	0.587315	0.795863	1.903843	0.0349608	0.00291273	0.0023294	0.00130219	0.00493079	0.0180354	0.0161385	0.00702455	0.0128253	0.0113506	0.00671147	0.00588298	0.0634464	0.0224943	0.00810885	0.0136061	0.00551143	0.00496838	0.00932172	0.0150491	0.0172678	0.0036021	0.000455192	0.0240831	0.00152203	0.00371682	0.00367525	0.0214152	0.00764223	0.00430451	0.0157552	0.0200488	0.0068444	0.00366398	0.0151401	0.00385878	0.00207703	0.0120799	0.00689156	0.012599	0.0152862	0.0307551	0.0203958	0.00333582	0.00116573	0.000265322	0.0189375	0.0329085	0.00614646	0.000540692	0.0130503	0.040848	0.0010349	0.0196805	0.0335973	0.0067251	0.0464219	0.0225075	0.01794	0.0341144	0.0261096	0.0142901	0.0230079	0.00275629	0.00215394	0.0184575	0.00867067	0.000718608	0.0311481	0.00950445	0.745855	0.21695	0.0276906	0.101861	0.328249	0.706422	1.41558	3.04647	9.81729	1.651594	0.036936	0.00307729	0.002461	0.00137576	0.00520937	0.0190543	0.0170503	0.00742142	0.0135499	0.0119918	0.00709065	0.00621536	0.067031	0.0237651	0.00856698	0.0143748	0.00582281	0.00524908	0.00984837	0.0158993	0.0182434	0.00380561	0.000480909	0.0254437	0.00160802	0.00392682	0.00388289	0.0226251	0.008074	0.00454771	0.0166454	0.0211815	0.00723109	0.00387098	0.0159955	0.0040768	0.00219437	0.0127624	0.00728091	0.0133108	0.0161498	0.0324927	0.0215481	0.00352429	0.00123159	0.000280312	0.0200075	0.0347677	0.00649372	0.000571239	0.0137876	0.0431558	0.00109337	0.0207924	0.0354955	0.00710505	0.0490446	0.0237792	0.0189535	0.0360418	0.0275847	0.0150975	0.0243078	0.00291201	0.00227563	0.0195003	0.00916055	0.000759208	0.0329078	0.9465237
144	-649.057	-757.4058	108.3488	0.280033	0.439537	0.560462	0.719967	3.790002	0.00328951	0.0333186	0.0207214	0.0172573	0.0624541	0.0130816	0.00598902	0.00354954	0.00272248	0.00242834	0.0201872	0.0182172	0.0419648	0.0669214	0.00193856	0.0141991	0.0066761	0.0119781	0.0110598	0.0136815	0.00655281	0.0216632	0.001693	0.0189509	0.00406128	0.00753093	0.00500273	0.0160152	0.0109179	0.00797582	0.0034456	0.0180519	0.00278249	0.00580879	0.00978893	0.000881218	0.00998307	0.0225125	0.0119869	0.00855786	0.0156396	0.0431832	0.00908984	0.0043041	0.00295827	0.00733756	0.0337078	0.0173113	0.00109831	0.00134536	0.0271712	0.0434062	0.00117313	0.0284565	0.0439474	0.0148955	0.0257104	0.0436922	0.0260034	0.0195945	0.0697923	0.0161655	0.0248616	0.00110169	0.00451021	0.0119524	0.00329672	0.00936133	0.0300121	0.0906989	0.485731	0.335958	0.0876122	0.0870886	0.3041	0.68978	1.44974	3.28839	11.4826	1.764888	0.00286823	0.0290516	0.0180677	0.0150472	0.0544557	0.0114062	0.00522202	0.00309495	0.00237382	0.00211735	0.0176019	0.0158842	0.0365905	0.0583509	0.0016903	0.0123806	0.0058211	0.0104441	0.00964343	0.0119293	0.00571361	0.0188888	0.00147618	0.0165239	0.00354116	0.00656646	0.00436205	0.0139642	0.00951969	0.00695437	0.00300433	0.01574	0.00242614	0.00506487	0.00853528	0.000768362	0.00870456	0.0196293	0.0104517	0.00746188	0.0136367	0.0376528	0.00792572	0.00375288	0.00257941	0.00639785	0.029391	0.0150943	0.000957653	0.00117306	0.0236914	0.0378472	0.00102289	0.0248121	0.0383192	0.0129879	0.0224177	0.0380966	0.0226732	0.017085	0.0608542	0.0140952	0.0216776	0.000960596	0.0039326	0.0104217	0.00287452	0.00816244	0.0261685	1.146878
180	-635.423	-744.2344	108.8113	0.276663	0.438458	0.561542	0.723336	3.664311	0.00765052	0.0252285	0.000348654	0.00264685	0.0402474	0.0121408	0.0039204	0.00606418	0.0300317	0.0192085	0.0178898	0.00228553	0.0478155	0.0450774	0.00129236	0.00261069	0.00268627	0.000715273	0.000209905	0.0196527	0.00807022	0.000254825	0.00282058	0.00388021	0.012926	0.00304712	0.0016069	0.0178463	0.0164007	0.00252864	0.0141264	0.012242	0.00200307	0.0105261	0.0020766	0.00188841	0.00760595	0.00516901	0.0391971	0.000759677	0.0224091	0.00117347	0.00376668	0.0258742	0.0312487	0.0283856	0.0139449	0.00732113	0.0206583	0.00471618	0.00131912	3.28464e-05	0.00526717	0.00519709	0.0150212	0.00862671	0.00418791	0.0262049	0.00517256	0.00544151	0.00880168	0.00160198	0.0213127	0.00598295	0.000653537	0.002187	0.041065	0.0174821	0.016147	0.189817	0.252054	0.437427	0.120701	0.0954195	0.317956	0.699435	1.42972	3.14509	10.48	1.69883	0.00951673	0.0313826	0.000433702	0.0032925	0.050065	0.0151024	0.00487672	0.00754344	0.0373574	0.0238941	0.0222537	0.00284305	0.0594793	0.0560733	0.0016076	0.00324753	0.00334154	0.000889752	0.000261108	0.0244466	0.0100388	0.000316985	0.00350862	0.00482672	0.016079	0.00379041	0.00199888	0.0221996	0.0204014	0.00314545	0.0175723	0.0152282	0.00249169	0.0130937	0.00258315	0.00234906	0.00946129	0.00642991	0.0487585	0.000944987	0.0278754	0.00145972	0.00468549	0.0321858	0.0388713	0.0353098	0.0173465	0.00910699	0.0256975	0.00586661	0.00164089	4.08587e-05	0.006552	0.00646483	0.0186854	0.010731	0.00520948	0.0325972	0.00643431	0.00676887	0.0109487	0.00199275	0.0265116	0.00744238	0.000812957	0.00272047	0.0510821	0.0217466	0.0200858	0.803902
216	-642.9486	-748.5792	105.6306	0.376261	0.467699	0.5323	0.62374	12.82052	0.00177976	0.00694297	0.00328623	0.00218152	0.0335633	0.0104072	0.000200273	0.00988093	0.0120601	0.00150884	0.011848	0.00501348	0.0208483	0.0300617	0.0024061	0.00350739	0.0102797	0.00503384	0.000367554	0.00590749	0.0117061	0.000167857	0.00308235	0.0051103	0.0014666	0.00741639	9.74515e-05	0.00454346	0.00501805	0.00397071	0.0165942	0.00602614	0.000459034	0.00474112	0.00156209	0.0036649	0.00846064	0.0145938	0.0356895	0.00213822	0.0098447	0.00272644	0.00299579	0.00619262	0.0396295	0.0181816	0.00469523	0.00128939	0.0172275	0.00203864	0.00268816	9.65087e-05	0.00390724	0.000591299	0.0138303	0.0139626	0.00542657	0.00680481	0.00299634	0.00730277	0.00852335	0.00133296	0.0277449	0.000345861	0.00222161	0.00878195	0.023872	0.0202647	0.014703	0.18617	0.170028	0.366372	0.27743	0.0628471	0.259371	0.656378	1.52351	3.85549	15.9116	2.000768	0.00304851	0.0118925	0.00562892	0.00373669	0.05749	0.0178262	0.000343043	0.0169249	0.0206575	0.00258447	0.0202943	0.00858748	0.0357107	0.0514921	0.00412136	0.00600773	0.0176079	0.00862237	0.000629576	0.0101188	0.0200512	0.00028752	0.0052797	0.00875332	0.00251211	0.0127034	0.000166923	0.00778241	0.00859532	0.00680135	0.0284239	0.0103221	0.000786271	0.00812097	0.00267568	0.00627753	0.0144921	0.0249974	0.0611319	0.00366251	0.0168628	0.00467006	0.00513143	0.0106072	0.0678806	0.031143	0.00804237	0.00220857	0.0295086	0.00349195	0.0046045	0.000165308	0.00669263	0.00101282	0.0236896	0.0239162	0.00929507	0.0116558	0.00513237	0.0125088	0.0145995	0.0022832	0.0475237	0.000592419	0.00380535	0.0150424	0.04089	0.0347111	0.0251844	0.5838121
252	-644.3272	-751.6111	107.2839	0.330239	0.454778	0.545221	0.669761	6.632623	0.013765	0.00546402	0.00659321	0.0140584	0.0153761	0.0134763	0.00216916	0.0021347	0.0143225	0.00850767	0.0165999	0.00489263	0.0240233	0.0216739	0.00255272	0.0014482	0.0049909	0.0012447	0.000148265	0.00552184	0.0159618	0.00206962	0.000273198	0.00626294	0.00251359	0.008667	0.00190294	0.0110843	0.00372712	0.00752365	0.0188963	0.00637959	0.000576589	0.00432956	0.00221691	0.011927	0.0109898	0.00629588	0.0455791	0.000489258	0.0222603	0.00100857	0.00316282	0.0214577	0.00965773	0.0269423	0.0282625	0.00194094	0.0172146	0.0177295	0.00867115	0.00292737	0.00267488	0.00747147	0.00248362	0.0242065	0.0259819	0.018782	0.00081222	0.00661087	0.00503943	0.000640455	0.00704545	0.00206729	0.00167843	0.00015893	0.0223551	0.0139926	0.0166992	0.235638	0.186532	0.488002	0.0898284	0.0599917	0.253555	0.65175	1.53433	3.94392	16.669	2.03439	0.0206507	0.00819728	0.00989132	0.0210909	0.0230677	0.0202175	0.00325424	0.00320253	0.021487	0.0127634	0.0249037	0.00734006	0.0360405	0.0325157	0.00382966	0.00217263	0.00748748	0.00186733	0.000222432	0.00828402	0.0239463	0.00310489	0.000409859	0.00939583	0.00377096	0.0130025	0.00285485	0.016629	0.00559153	0.0112872	0.0283488	0.00957084	0.000865015	0.00649532	0.00332586	0.0178933	0.0164871	0.00944526	0.068379	0.000733998	0.0333955	0.00151309	0.00474496	0.0321914	0.0144888	0.0404195	0.0424002	0.00291185	0.0258258	0.0265983	0.0130087	0.00439173	0.00401293	0.0112089	0.00372599	0.0363152	0.0389788	0.0281773	0.00121852	0.00991782	0.0075603	0.000960828	0.0105698	0.0031014	0.00251803	0.000238432	0.0335378	0.0209921	0.0250526	0.6665655
288	-634.8842	-745.1451	110.2608	0.163923	0.395337	0.604663	0.836077	1.370235	0.0140746	0.00918384	0.00943461	0.000312314	0.00537854	0.0176388	0.000476599	0.00759531	0.013641	0.00947755	0.00737891	0.0158368	0.065523	0.0616226	0.00643037	0.00933717	0.0005196	0.000920195	0.0045011	0.0134935	0.0372199	0.00262309	0.00115238	0.0024811	0.00417409	0.00570543	0.00950179	0.0159349	0.00595206	0.00990841	0.0148569	0.0142623	0.000172906	0.00796522	0.000859311	0.00125152	0.0033311	0.00293539	0.00406585	0.0430316	0.0222629	0.0114654	0.00141774	0.0286983	0.000137371	0.0253052	0.0269181	0.00825148	0.022949	0.00064735	0.000595374	0.00460281	0.0147906	0.0282665	0.00224916	0.0613054	0.0887347	0.0139035	0.0156352	0.0575109	0.00414906	0.0404782	0.0364333	0.0241141	0.00485586	0.0205121	0.0354509	0.0243041	0.00764481	0.0937142	0.633423	0.251318	0.0215446	0.119489	0.354822	0.723789	1.38162	2.81831	8.36895	1.53618	0.0128682	0.00839664	0.00862592	0.000285544	0.00491752	0.0161269	0.000435747	0.00694427	0.0124718	0.00866518	0.00674642	0.0144793	0.0599067	0.0563406	0.00587919	0.00853683	0.000475062	0.000841321	0.00411529	0.0123369	0.0340296	0.00239825	0.00105361	0.00226843	0.00381631	0.00521639	0.00868734	0.014569	0.00544187	0.00905911	0.0135835	0.0130398	0.000158085	0.00728248	0.000785654	0.00114424	0.00304557	0.00268379	0.00371734	0.0393432	0.0203546	0.0104826	0.00129622	0.0262384	0.000125596	0.0231362	0.0246108	0.0075442	0.0209819	0.000591862	0.000544342	0.00420827	0.0135228	0.0258437	0.00205637	0.0560506	0.0811288	0.0127117	0.014295	0.0525814	0.00379342	0.0370086	0.0333104	0.0220471	0.00443964	0.0187539	0.0324122	0.0222209	0.00698953	1.093751
324	-647.6146	-756.8779	109.2633	0.23547	0.424498	0.575501	0.76453	2.491843	0.0132891	0.00711936	0.0054494	0.00109547	0.0248756	0.0231751	0.00365541	0.00373852	0.00740222	0.0140855	0.00223151	0.0139246	0.0909933	0.0518831	0.00350827	0.00460506	8.49614e-05	0.00167339	0.0137243	0.00326077	0.00631326	0.00686446	0.00511283	0.00604144	0.0034344	0.00659174	0.0152198	0.0250024	0.00554826	0.000733043	0.00772289	0.0122131	0.000674802	0.00214213	0.00189356	0.00581965	0.0047505	0.000532801	0.031798	0.00049913	0.0162227	0.0108968	0.00445951	0.00740947	0.00886634	0.024024	0.00417588	0.00109992	0.0187383	0.0144942	0.0107679	0.00274375	0.00857735	0.00124104	0.00905383	0.0282932	0.0145345	0.0299698	0.00105089	0.00173854	0.00221923	0.000480498	0.00492044	0.00313399	0.00736792	0.00676866	0.0190602	0.0139152	0.00154459	0.0288706	0.387096	0.470351	0.113682	0.0628076	0.259291	0.656315	1.52366	3.85667	15.9216	2.001223	0.0185485	0.00993697	0.00760609	0.00152902	0.0347206	0.032347	0.00510211	0.00521811	0.0103318	0.01966	0.00311467	0.0194355	0.127005	0.0724167	0.00489673	0.00642759	0.000118586	0.00233567	0.0191559	0.00455127	0.00881184	0.00958119	0.00713633	0.00843244	0.00479362	0.00920053	0.0212434	0.0348976	0.00774409	0.00102316	0.0107794	0.0170466	0.000941867	0.00298991	0.00264296	0.00812288	0.00663059	0.000743666	0.0443827	0.00069667	0.0226431	0.0152093	0.00622444	0.0103419	0.0123753	0.0335319	0.00582855	0.00153523	0.0261543	0.0202306	0.0150295	0.00382963	0.011972	0.0017322	0.012637	0.0394907	0.0202867	0.0418309	0.00146679	0.00242659	0.00309753	0.000670664	0.0068678	0.00437433	0.0102839	0.00944748	0.0266036	0.0194224	0.00215589	0.7164517
