Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	tree_length
0	-648.7574	-753.9991	105.2417	0.382894	0.469501	0.5305	0.617105	14.35789	0.0123751	0.0201126	0.0160896	0.00152391	0.0153683	0.0217441	0.012718	0.000252163	0.0164549	0.00848814	0.0184986	0.00256809	0.0610898	0.0442511	0.00267603	0.0130189	0.00235758	0.00185425	0.00452419	0.000337859	0.00645899	0.00157235	0.00616151	0.00938639	0.00018806	0.00195618	0.000132947	0.00350353	0.00422698	0.00218597	0.00932187	0.00384486	0.00129484	0.00379732	0.000704182	0.00166782	0.0133968	0.00605818	0.000382487	0.0377435	0.0028435	0.0162938	0.00498854	0.00646589	0.0281677	0.0243897	0.00322688	0.0173515	0.0184186	0.0139945	0.0084836	0.0335016	0.0219026	0.00222691	0.00851832	0.017903	0.00833557	0.0107748	0.00136651	0.00179449	0.00261745	0.00266512	0.00401488	0.00088027	0.026047	0.015381	0.00933583	0.031448	0.0174064	0.0507621	0.544488	0.295481	0.109268	0.064688	0.263048	0.659268	1.51683	3.80158	15.4588	1.979892	0.0164774	0.02678	0.0214233	0.00202909	0.020463	0.0289523	0.0169341	0.000335756	0.0219097	0.011302	0.0246309	0.00341941	0.0813411	0.0589203	0.00356314	0.0173347	0.00313912	0.00246894	0.00602396	0.000449859	0.00860015	0.00209359	0.00820406	0.012498	0.000250402	0.00260466	0.00017702	0.00466496	0.00562823	0.00291061	0.0124121	0.00511943	0.00172408	0.00505613	0.00093762	0.00222071	0.0178379	0.00806647	0.000509282	0.0502555	0.00378612	0.0216952	0.00664225	0.00860933	0.0375053	0.0324749	0.0042966	0.0231035	0.0245244	0.0186337	0.0112959	0.0446075	0.0291633	0.00296513	0.0113421	0.0238379	0.0110988	0.0143466	0.00181951	0.00238936	0.00348514	0.00354861	0.00534582	0.00117208	0.0346816	0.0204798	0.0124307	0.0418731	0.0231767	0.7510322
36	-641.6792	-751.3957	109.7165	0.200428	0.4112	0.5888	0.799572	1.845874	0.0111048	0.0145036	0.00675975	0.00328687	0.00558718	0.0155881	0.0024497	0.0059727	0.0139524	0.0104257	0.00850647	0.0169222	0.026563	0.035941	0.00341993	0.0112032	0.00193074	0.00477314	0.00168251	0.0056825	0.00412485	9.01148e-05	0.00101319	0.00812408	0.0004016	0.000852616	8.92581e-05	0.0117422	0.0106448	0.00137708	0.00853605	0.0056686	0.00146567	0.00349566	0.00504343	0.00156063	0.0291015	0.012279	0.00665519	0.00448685	0.00581377	0.0271874	0.014281	0.0039897	0.00402711	0.0108439	0.00439229	0.00261078	0.00441743	0.0148827	0.000893094	0.0354242	0.0288672	0.0025984	0.00619387	0.0287359	0.0211015	0.00178231	0.0110358	0.0250181	0.00294394	0.0211095	0.00530298	0.000159093	0.00785252	0.00792465	0.00638951	0.00690435	0.0228473	0.0244836	0.623438	0.201196	0.150883	0.0590766	0.251661	0.650228	1.53792	3.9736	16.9272	2.045504	0.0168628	0.0220239	0.0102648	0.00499116	0.00848422	0.0236707	0.00371991	0.00906964	0.0211869	0.0158316	0.0129172	0.0256966	0.0403363	0.054577	0.00519321	0.0170123	0.00293186	0.00724809	0.00255491	0.00862896	0.00626364	0.000136841	0.00153854	0.0123365	0.000609835	0.00129471	0.00013554	0.0178307	0.0161643	0.00209112	0.0129621	0.00860786	0.00222564	0.00530821	0.00765853	0.00236984	0.044191	0.0186459	0.010106	0.00681335	0.0088283	0.0412845	0.0216859	0.00605842	0.00611522	0.0164666	0.00666975	0.00396451	0.00670794	0.0225996	0.00135618	0.0537922	0.0438353	0.00394571	0.00940548	0.0436359	0.0320429	0.00270647	0.016758	0.0379904	0.00447041	0.0320551	0.00805266	0.000241585	0.0119242	0.0120337	0.00970257	0.0104844	0.0346939	0.6585379
72	-649.0647	-756.8224	107.7577	0.263651	0.434209	0.565791	0.736349	3.227959	0.00239816	0.00247998	0.0066849	0.0100229	0.00553276	0.00412764	0.00178668	0.000170219	0.00105965	0.00436898	0.00242782	0.0016972	0.0109092	0.00820457	0.000700472	0.0013241	0.000881584	0.00106011	7.36111e-05	0.0018567	0.00359099	0.000900848	0.000115458	0.00497323	0.000218414	0.000728926	0.00109156	0.0028462	0.00146334	0.00156625	0.00241515	0.00540642	0.000436028	0.00719099	0.000453915	0.00166137	0.00390877	0.000377434	3.55271e-05	0.00569495	0.00508891	0.000755127	0.000188452	0.00181174	0.00214044	0.00336143	0.0066593	0.00237994	0.00448735	0.000487517	0.00560595	0.00349333	0.00816642	4.30521e-05	0.00109343	0.000672362	0.00753056	0.00351056	0.00139896	0.000315908	0.00233135	0.000139529	0.00226696	1.14012e-05	0.0124814	0.00386217	0.00550419	0.0136582	0.00457621	0.0988403	0.357081	0.412693	0.131385	0.0192423	0.145622	0.548204	1.82414	6.86709	51.9689	2.856589	0.0110583	0.0114356	0.0308251	0.0462172	0.0255124	0.0190332	0.00823868	0.000784909	0.00488623	0.0201461	0.0111951	0.00782607	0.050304	0.0378326	0.00322999	0.00610563	0.00406513	0.00488832	0.000339433	0.00856152	0.0165587	0.00415395	0.000532396	0.0229324	0.00100714	0.00336119	0.00503335	0.0131243	0.00674771	0.00722223	0.0111366	0.0249299	0.00201059	0.0331588	0.00209308	0.00766087	0.018024	0.00174041	0.000163821	0.0262603	0.0234658	0.00348201	0.000868981	0.00835424	0.00986991	0.0155001	0.0307071	0.0109743	0.0206919	0.00224802	0.02585	0.0161083	0.0376567	0.00019852	0.00504199	0.00310037	0.0347246	0.0161878	0.00645085	0.0014567	0.0107502	0.000643392	0.0104533	5.25728e-05	0.0575537	0.0178091	0.0253807	0.06298	0.0211016	0.2168651
108	-648.6271	-757.7077	109.0806	0.271373	0.436747	0.563253	0.728628	3.477968	0.0194463	0.00455546	0.00880836	0.00790019	0.00790552	0.0281741	0.00201727	0.0115406	0.0164784	0.00636378	0.0126894	0.000567709	0.0174242	0.0390346	0.0073612	0.00304825	0.00092436	0.00420579	6.5735e-05	0.0103383	0.00459399	0.00210446	0.00351134	0.00288789	0.000972333	0.00575442	0.00701282	0.00844351	0.0112225	0.00176215	0.013675	0.00557812	0.00984586	0.00675694	0.00154384	0.00502943	0.014143	0.00458675	0.00501102	0.00207186	0.0130648	0.00145813	0.0190433	0.0175275	0.00307452	0.00498027	0.00920883	0.000559652	0.00451172	0.0221468	0.000177451	0.0256077	0.031147	0.027686	0.000134104	0.013362	0.0225292	0.00962181	0.0121462	8.97012e-05	0.000890858	0.0171901	0.0298355	0.00652217	0.0029079	0.00103319	0.0117017	0.00483307	0.0158694	0.229272	0.436643	0.173411	0.160674	0.105946	0.334605	0.710662	1.40714	2.9886	9.43873	1.62316	0.0297246	0.00696322	0.013464	0.0120758	0.0120839	0.0430654	0.00308349	0.0176403	0.025188	0.00972731	0.0193963	0.000867768	0.0266336	0.0596662	0.0112519	0.00465939	0.00141292	0.00642873	0.000100479	0.0158025	0.00702212	0.00321676	0.00536724	0.00441426	0.00148625	0.00879589	0.0107194	0.0129063	0.0171541	0.00269353	0.0209029	0.0085264	0.0150498	0.0103283	0.00235982	0.0076877	0.0216183	0.00701105	0.00765956	0.00316693	0.0199701	0.00222881	0.0291086	0.0267915	0.00469954	0.00761256	0.0140761	0.000855453	0.00689636	0.0338524	0.000271241	0.0391424	0.0476096	0.0423192	0.000204984	0.0204243	0.0344368	0.0147074	0.0185661	0.000137112	0.00136172	0.0262758	0.0456049	0.00996942	0.00444485	0.00157928	0.0178865	0.00738756	0.0242571	0.6542175
144	-656.7196	-766.6328	109.9132	0.16269	0.394755	0.605245	0.83731	1.35668	0.0211146	0.0169782	0.010487	0.0156001	0.0194474	0.0167509	0.00704646	0.023233	0.0199692	0.0128879	0.00811438	0.0432417	0.0856888	0.0488349	0.000117789	0.00180514	0.00343833	0.00321245	0.000807519	0.0246041	0.00903895	0.00626945	0.00917096	0.00136003	0.00468112	0.00365084	0.00239694	0.024227	0.00794109	6.73201e-05	0.0126289	0.0116695	0.00991052	0.00236799	0.00670389	0.0114176	0.0541128	0.0329537	0.0031694	0.00909852	0.0185312	0.0055671	0.0508248	0.00509256	0.0250874	0.00292474	0.0711693	0.00532778	0.0573611	0.0721916	0.00821446	0.00345296	0.0613234	0.0172815	0.00547172	0.00478791	0.00118332	0.00854517	0.00349391	0.0381524	0.0080357	0.0441334	0.0104198	0.00907086	0.00943863	0.000949939	0.0115919	0.0303357	0.0199924	0.170457	0.275926	0.534998	0.0186183	0.0880092	0.305664	0.690885	1.44742	3.27157	11.3624	1.757284	0.0173616	0.0139604	0.00862295	0.0128273	0.0159907	0.0137735	0.00579398	0.0191035	0.0164198	0.0105971	0.00667208	0.0355557	0.0704579	0.0401547	9.68524e-05	0.00148429	0.00282718	0.00264145	0.000663986	0.0202308	0.00743231	0.00515508	0.00754086	0.00111829	0.00384907	0.00300192	0.00197089	0.0199207	0.00652959	5.53542e-05	0.0103842	0.00959531	0.00814897	0.00194709	0.0055123	0.00938814	0.0444945	0.0270963	0.00260605	0.0074813	0.0152373	0.00457757	0.0417909	0.00418738	0.0206283	0.00240488	0.0585193	0.00438079	0.0471654	0.0593598	0.00675438	0.00283921	0.0504234	0.0142098	0.00449915	0.00393688	0.000972989	0.0070263	0.00287288	0.031371	0.00660739	0.0362889	0.00856774	0.00745855	0.00776095	0.000781092	0.00953148	0.0249437	0.0164388	1.216169
180	-639.6828	-745.7338	106.051	0.369769	0.465923	0.534078	0.63023	11.53769	0.0171389	0.00131098	0.00650963	0.0024838	0.00662297	0.021893	0.00306074	0.00921428	0.0173425	0.0252882	0.0119942	0.010236	0.0179249	0.039405	0.000729217	0.00223312	0.000395771	0.00302943	0.00206572	0.0141621	0.0258684	0.00843353	0.00371923	0.00797518	0.000892973	0.00291525	0.0161027	0.00801146	0.00713252	0.00158671	0.00968621	0.00506562	0.00324214	0.00455368	0.000862304	0.00370758	0.00650112	0.0121407	0.0322268	0.00315704	0.0108652	0.0436565	0.0325444	0.0330653	6.11811e-05	0.0167357	0.00446577	0.00150935	0.00477343	0.0338992	0.00530863	0.0269863	0.0346368	0.00817872	0.000151989	0.022478	0.0520461	0.00742256	0.00420148	0.0171373	0.00481171	0.0212264	0.000116503	0.0034904	0.00141065	0.00192183	0.00263154	0.00318803	0.0194523	0.148033	0.197651	0.247199	0.407116	0.0873274	0.304506	0.690068	1.44913	3.284	11.4512	1.762908	0.0215531	0.00164863	0.00818621	0.00312352	0.00832874	0.0275316	0.00384904	0.0115875	0.0218091	0.0318013	0.0150833	0.0128723	0.0225415	0.0495539	0.00091703	0.00280826	0.000497703	0.00380967	0.00259776	0.0178095	0.0325309	0.0106056	0.00467713	0.0100292	0.00112296	0.00366608	0.02025	0.0100748	0.00896953	0.00199537	0.0121809	0.00637029	0.00407717	0.0057265	0.00108439	0.00466248	0.00817551	0.0152676	0.040527	0.00397015	0.0136636	0.0549004	0.0409263	0.0415813	7.69386e-05	0.0210461	0.00561595	0.00189809	0.00600285	0.04263	0.00667589	0.0339367	0.0435576	0.0102852	0.000191134	0.0282673	0.0654508	0.00933427	0.00528358	0.0215511	0.00605099	0.0266933	0.000146509	0.00438936	0.00177396	0.0024168	0.0033093	0.00400912	0.0244623	0.7951947
216	-646.155	-755.3923	109.2372	0.243275	0.427265	0.572735	0.756725	2.672004	0.0112149	0.00469562	0.016735	0.00935691	0.00716445	0.0214168	0.00264232	0.00764288	0.00533794	0.00279553	0.0266803	0.0134669	0.0372109	0.0782733	0.00226488	0.00922696	0.00301855	0.00146048	0.00465403	0.00814006	0.0192647	0.0147045	0.0111526	0.00127227	0.000998174	0.00595183	0.0171831	0.00878518	0.00342828	0.00881891	0.00764914	0.0113347	0.00820023	0.0107765	0.0116377	0.0037401	0.0217682	0.0140162	0.00836809	0.00610762	0.0259728	0.032256	0.040347	0.0315626	0.00206064	0.00297721	0.00252654	0.00891882	0.00929651	0.00407913	0.00328106	0.032446	0.0253919	0.0106521	0.000813794	0.0058087	0.0445996	0.0119941	0.0105881	0.0125781	0.000727327	0.0269406	0.0333685	0.0476812	0.00494966	0.00157314	0.0104936	0.0164219	0.0334511	0.0872809	0.298502	0.608546	0.00567106	0.093591	0.314969	0.697379	1.43394	3.17491	10.6848	1.712821	0.0116541	0.00487951	0.0173904	0.00972334	0.00744502	0.0222556	0.0027458	0.00794219	0.00554698	0.00290501	0.0277251	0.0139942	0.0386681	0.0813386	0.00235358	0.00958831	0.00313676	0.00151767	0.00483629	0.00845883	0.0200192	0.0152804	0.0115893	0.00132209	0.00103726	0.00618491	0.0178561	0.00912923	0.00356253	0.00916427	0.0079487	0.0117785	0.00852137	0.0111985	0.0120934	0.00388657	0.0226207	0.0145651	0.00869579	0.0063468	0.0269899	0.0335192	0.041927	0.0327986	0.00214134	0.00309381	0.00262548	0.00926809	0.00966057	0.00423888	0.00340956	0.0337167	0.0263863	0.0110693	0.000845664	0.00603618	0.0463461	0.0124638	0.0110027	0.0130707	0.00075581	0.0279957	0.0346753	0.0495485	0.00514349	0.00163475	0.0109045	0.017065	0.0347611	0.9623143
252	-647.4715	-756.6981	109.2266	0.232382	0.423386	0.576613	0.767618	2.424803	0.0259277	0.0010691	0.0325397	0.00765164	0.0329824	0.0169712	0.000354696	0.0129917	0.0193567	0.0200135	0.0236314	0.0194224	0.0294029	0.0580876	0.000374444	0.00384794	0.0313019	0.00282568	0.00546316	0.0138332	0.0239283	0.00816312	0.002888	0.0192731	0.00608157	0.00739387	0.0126341	0.0130262	0.0161049	0.00503604	0.0108768	0.0041844	0.00789694	0.0272681	0.0056656	0.00299115	0.076006	0.0166564	0.0377807	0.0192576	0.044256	0.00165258	0.00510003	0.0432768	0.00188547	0.00157481	0.0418298	0.00859872	0.0465455	0.0104306	0.015044	0.0398436	0.0273864	0.0036463	0.00169754	0.00468375	0.0238862	0.00733444	0.00774122	0.0203885	0.00638071	0.02181	0.00185055	0.00272621	0.081698	0.00122812	0.0974505	0.0352086	0.0239404	0.223152	0.092801	0.677023	0.00702406	0.125795	0.363834	0.729474	1.37085	2.74851	7.94947	1.498998	0.0197883	0.000815948	0.0248346	0.0058398	0.0251725	0.0129526	0.000270707	0.00991541	0.0147732	0.0152745	0.0180357	0.0148234	0.0224406	0.0443329	0.000285779	0.00293679	0.0238899	0.00215659	0.00416954	0.0105577	0.0182623	0.00623017	0.00220415	0.0147094	0.00464151	0.00564307	0.00964248	0.00994168	0.0122914	0.00384355	0.0083013	0.00319357	0.00602702	0.0208113	0.00432404	0.00228287	0.0580084	0.0127123	0.0288346	0.0146976	0.0337765	0.00126126	0.00389239	0.0330292	0.00143901	0.00120191	0.0319249	0.00656262	0.035524	0.00796072	0.0114817	0.030409	0.0209016	0.00278289	0.00129558	0.00357468	0.0182302	0.00559771	0.00590817	0.0155607	0.00486982	0.0166456	0.00141235	0.00208067	0.0623526	0.000937311	0.0743751	0.0268715	0.0182715	1.310257
288	-650.2262	-755.8089	105.5827	0.377914	0.468149	0.531852	0.622085	13.18055	0.00283565	0.0125057	0.0019727	0.0109071	0.0299387	0.0251315	0.00164771	0.00393912	0.0121401	0.0194945	0.00243314	0.00763839	0.0680264	0.018596	0.000993088	0.00541528	0.00481072	0.00147428	0.00681879	0.00195358	0.00341253	0.00730071	0.00930742	0.00107377	0.00318319	0.00580773	0.000715052	0.0149333	0.000428889	0.00431217	0.0149739	0.00686936	0.00645944	0.00285299	0.00403638	0.00549159	0.0171456	0.00795291	0.040603	0.00538023	0.0177916	0.00283971	0.0430034	0.0129504	0.0045318	0.00567124	0.00379218	0.0068055	0.0170796	0.0252514	0.00345006	0.0374586	0.0188121	0.000882108	0.000875053	0.00126963	0.00757956	0.00237235	0.0166432	0.0162762	6.92733e-05	0.00212	0.0258653	0.0301726	0.00621195	0.00741522	0.00308768	0.0193235	0.000535581	0.078869	0.659989	0.056253	0.204889	0.0728975	0.278832	0.671362	1.48951	3.58639	13.7179	1.893501	0.00382653	0.0168757	0.00266204	0.0147184	0.0404005	0.0339134	0.00222348	0.0053156	0.0163823	0.0263067	0.00328337	0.0103075	0.0917973	0.0250942	0.00134011	0.00730758	0.00649176	0.00198944	0.00920153	0.00263623	0.00460499	0.00985186	0.0125598	0.00144899	0.00429551	0.00783716	0.000964918	0.0201515	0.000578759	0.005819	0.0202064	0.00926978	0.00871661	0.00384993	0.00544684	0.00741055	0.0231369	0.0107319	0.0547913	0.00726028	0.0240087	0.00383201	0.0580304	0.0174757	0.00611538	0.00765298	0.00511731	0.0091836	0.0230478	0.0340752	0.00465564	0.050548	0.0253858	0.00119035	0.00118083	0.00171329	0.0102281	0.00320134	0.022459	0.0219637	9.348e-05	0.0028608	0.0349036	0.0407161	0.00838264	0.0100064	0.00416663	0.0260758	0.000722733	0.7410495
324	-646.3844	-755.4566	109.0722	0.260157	0.433044	0.566956	0.739843	3.122589	0.0106623	0.0178283	0.00629568	0.0175919	0.0518675	0.015361	0.00629867	0.0058884	0.0355769	0.0119402	0.0231826	0.00335997	0.0646045	0.028951	0.00106975	0.00584736	0.00705669	0.0067673	0.00736841	0.0241808	0.0242657	0.00795152	0.00483425	0.000300153	0.00764221	0.00650997	0.0033313	0.00844811	0.00656712	0.00304401	0.0047841	0.0178336	0.00501324	0.0236575	0.00692689	0.00849526	0.00389881	0.0301669	0.0322985	0.0157213	0.0170239	0.0308718	0.0636605	0.0149773	0.0025131	0.0109844	0.00520225	0.0195983	0.0132816	0.0282697	0.00855718	0.0340503	0.0249897	0.00145519	0.0204353	0.000856072	0.0027625	0.00234232	0.00941268	0.0136361	0.00127167	0.011768	0.037612	0.0110907	0.00568417	0.00413775	0.00604256	0.0164039	0.000418164	0.0897679	0.296574	0.386703	0.226955	0.113634	0.346233	0.718276	1.39222	2.88822	8.80018	1.57251	0.0107407	0.0179594	0.00634198	0.0177213	0.052249	0.015474	0.006345	0.00593171	0.0358386	0.012028	0.0233531	0.00338469	0.0650797	0.029164	0.00107762	0.00589037	0.00710859	0.00681707	0.0074226	0.0243587	0.0244442	0.00801	0.00486981	0.00030236	0.00769842	0.00655785	0.0033558	0.00851025	0.00661542	0.0030664	0.00481929	0.0179647	0.00505012	0.0238315	0.00697784	0.00855774	0.00392749	0.0303888	0.0325361	0.0158369	0.0171491	0.0310988	0.0641287	0.0150875	0.00253158	0.0110652	0.00524051	0.0197425	0.0133793	0.0284776	0.00862012	0.0343007	0.0251735	0.00146589	0.0205856	0.000862369	0.00278282	0.00235955	0.00948192	0.0137364	0.00128102	0.0118546	0.0378886	0.0111723	0.00572598	0.00416819	0.00608701	0.0165246	0.000421239	0.9926986
